西青区大寺宇泰家园,"117.218933,39.034264"
塘沽区新河街珠江里(滨海),"119.827621,33.995647"
河东区向阳楼阳明里,"117.274278,39.148684"
南开区向阳路芥园里,"117.134261,39.150685"
河西区小海地华江里,"117.265212,39.062419"
武清区黄庄街泰合府,"117.02771,39.374494"
南开区天拖南盈江里,"117.14395,39.108312"
南开区体育中心欣居园,"117.174171,39.078158"
和平区南市金茂广场(商住楼),"117.188525,39.13691"
塘沽区北塘街欣昌苑,"117.647127,39.138065"
北辰区小淀新城樾风华翠樾园,"117.240657,39.261202"
河西区小海地松江里,"117.264619,39.064009"
河西区友谊路纯真里,"117.225122,39.084861"
蓟州区罗庄子镇州河湾西园(西区),"117.426301,40.144828"
河东区常州道一品家园,"117.248784,39.150179"
塘沽区胡家园街佳成苑,"121.271065,31.205433"
西青区李七庄万科东第,"117.193142,39.055194"
河西区梅江富华梅江公馆,"117.230646,39.079856"
和平区新兴街犀地,"117.196699,39.108892"
河西区小海地华江里,"117.265212,39.062419"
河西区桃园街元兴新里,"117.214729,39.108344"
塘沽区解放路街金泰新村(西区),"117.66759,39.021757"
宝坻区钰华街玺悦峰,"117.318934,39.696944"
大港区港西心港假日苑(西区),"121.422697,31.693428"
塘沽区解放路街吉祥里,"116.444995,39.93205"
南开区鼓楼东北角艺术公寓,"117.195596,39.150862"
河西区梅江南天浦园,"117.232146,39.051788"
塘沽区向阳街东方里,"113.284397,23.134067"
南开区王顶堤园荫北里,"117.150688,39.097753"
和平区小白楼外纺宿舍楼,"117.219768,39.131377"
宝坻区钰华街金顺园,"117.314078,39.691002"
津南区双港首创昆芳苑,"117.344556,39.027218"
南开区向阳路凯盛家园,"117.136565,39.141602"
红桥区芥园街隆春里,"117.171494,39.152469"
红桥区芥园街宜兰里,"117.155052,39.156433"
东丽区空港经济区锦润华庭,"117.392556,39.168667"
红桥区西于庄街子牙南里,"117.16426,39.171572"
南开区鼓楼天霖园,"117.180597,39.146117"
河西区小海地玉峰花园,"117.276646,39.062973"
西青区大寺金友花园,"117.233048,39.000191"
津南区双港津铁惠苑,"117.283237,39.057095"
东丽区军粮城秀霞里,"117.516814,39.04932"
武清区大王古庄镇英伦花园,"116.809311,39.57462"
西青区精武国兴佳园,"117.124582,39.050499"
河北区建昌道街建红里,"117.236016,39.178504"
西青区张家窝仁盛里,"117.028307,39.081084"
北辰区宜兴埠春泽苑,"117.230865,39.208827"
东丽区利津路金华里(东丽),"117.31674,39.094739"
津南区咸水沽金御中央,"117.379212,38.992209"
塘沽区解放路街福星里,"117.675759,39.023666"
河北区望海楼街蓬莱新里,"117.200959,39.156736"
西青区精武小镇西西里瑞国里,"117.11972,39.037841"
河西区柳林风致里,"117.229416,39.115718"
北辰区双街镇柴楼新庄园金园,"117.109306,39.2753"
南开区王顶堤凤园里,"117.154657,39.094573"
河西区下瓦房同善里(河西),"117.231663,39.112418"
西青区侯台园艺工程研究所小区,"117.132279,39.10582"
静海区团泊镇津泊湾,"117.170844,38.923231"
北辰区北仓辰庆家园,"117.161567,39.232791"
河东区大直沽金昌里小区,"117.256802,39.118501"
河东区鲁山道彩丽园,"117.295066,39.15751"
南开区向阳路乐园里,"117.134386,39.154081"
西青区精武金旺南里,"117.168397,39.058752"
河东区大王庄祥云名苑,"117.228951,39.130339"
红桥区西于庄街礼貌楼,"117.166324,39.17596"
南开区王顶堤横江里,"117.144128,39.111593"
河西区小海地桂江里(河西),"117.268908,39.057886"
河东区上杭路程林里,"117.267124,39.132803"
汉沽区茶淀街润和馨苑,"104.199328,30.571597"
河东区常州道一品家园,"117.248784,39.150179"
河东区上杭路懿德园,"117.255284,39.128865"
宝坻区海滨街绿色家园(宝坻),"117.322946,39.733892"
红桥区双环邨街碧春园,"117.157518,39.173286"
北辰区普东街普兴里,"117.203755,39.199393"
塘沽区工农村街晓镇家园,"117.676766,39.053841"
红桥区西于庄街奋斗楼,"117.164926,39.175285"
河西区天塔环湖南里,"117.193333,39.086894"
东丽区华明镇建邦时代汇,"117.39184,39.173248"
宝坻区钰华街泰达金色领地,"117.303786,39.697582"
北辰区果园新村霞光里(北辰),"117.143449,39.226015"
津南区咸水沽津南新城合力园,"117.397799,39.00659"
西青区大寺金友花园,"117.233048,39.000191"
河东区唐口嘉华小区,"117.250158,39.135239"
南开区八里台观景里,"117.157075,39.096184"
北辰区宜兴埠普润家园,"117.202378,39.205673"
河东区二号桥靓东花园,"117.308627,39.103522"
和平区南市金茂广场(商住楼),"117.188525,39.13691"
津南区津南八里台嘉泰翰林学府,"117.332415,38.941274"
南开区鼓楼煦园新居,"117.193917,39.145412"
南开区鼓楼煦园新居,"117.193917,39.145412"
北辰区双街镇柴楼新庄园兴园,"117.112479,39.273978"
西青区大寺天任里,"117.250221,39.037161"
南开区万兴街群富里,"117.179555,39.125471"
武清区杨村街君利商厦,"117.075647,39.379625"
红桥区咸阳北路街河怡花园,"117.141114,39.172879"
南开区王顶堤郁园里,"117.142999,39.09868"
南开区万兴街同安里(南开),"117.180979,39.125607"
和平区南营门气象西里,"117.192301,39.116047"
南开区鼓楼煦园新居,"117.193917,39.145412"
河西区梅江富华梅江公馆,"117.230646,39.079856"
东丽区张贵庄街好美嘉园,"117.303111,39.117646"
开发区第四大街桐景园,"114.996337,35.804964"
北辰区果园新村东升里(北辰),"117.146895,39.226706"
和平区南营门金德园,"117.196926,39.123973"
塘沽区杭州道街长征里,"117.668046,39.043873"
南开区王顶堤王顶堤故里,"117.143762,39.102504"
