待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
恒大山水城(东区) 大两居 精装可拎包入住 中间楼层采光好,2室,2厅,1卫,92.4,南,中层(共32层),2016年建造,恒大山水城(东区),武清,泗村店镇,碱东路,南 满二年 车位充足 ,56,6061
出售雍盛电梯两室精装一套70万可议,2室,1厅,1卫,96,南北,高层(共11层),2012年建造,雍盛花苑,武清,汊沽港镇,南环路,南北 有电梯 ,70,7292
大寺金谊花园精装中户两室82平68万 位置楼层好 随时看房,2室,2厅,1卫,81.76,南北,低层(共26层),2014年建造,金谊花园,西青,大寺,芦北路,南北 满五年 ,68,8318
有电梯 交通便利 近地铁 房龄新 刚需小三居 正南朝向,3室,2厅,1卫,94,南,中层(共24层),2015年建造,远洋万和城,西青,大寺,梨双路,南 满五年 ,187,19894
翠景园(西青) 小区新 满五 低密度社区 南北通透 有电梯,2室,2厅,1卫,91.54,南北,高层(共18层),2014年建造,翠景园(西青),西青,张家窝,吉庆道8号,南北 满五年 户型方正 ,105,11471
22W可议锦花园的一套大两房 产权清晰 拥有完全产权 楼龄新,2室,2厅,1卫,94.63,南北,高层(共6层),2016年建造,蓉锦花园,武清,下伍旗镇,旗良公路,南北 满二年 ,34,3593
南北通透 满五 税费低 业主诚意出售,2室,2厅,1卫,93.98,南北,共5层,2003年建造,瑞江花园梅苑,河西,梅江,大任庄北路 近梅江道,南北 近地铁 ,209,22239
出售博惠苑两室一厅一卫精装修家具家电全送 随时可以看房,2室,1厅,1卫,94.61,南北,高层(共6层),2012年建造,博惠苑,武清,汊沽港镇,津永线,南北 满二年 ,68,7188
小三居  新装修没怎么住过 视野好 采光好,3室,2厅,1卫,91,南北,高层(共27层),2014年建造,凤河孔雀城,武清,大王古庄镇,古旺路9号,南北 满五年 ,72,7913
出售翡翠湾景园两室一厅一卫简单装修32万可议 随时可以看房,2室,1厅,1卫,97,南北,中层(共6层),2012年建造,翡翠湾景园,武清,汊沽港镇,汉王路,南北 ,33,3403
六中十    H户型 业主挥泪卖 有钥匙 随时看,2室,1厅,1卫,96.61,南,高层(共6层),2000年建造,朝晖里(滨海),大港,古林街,凯旋街,南 满五年 ,78.5,8126
隆泰家园47万可议 老证可贷款,2室,1厅,1卫,99.87,南北,中层(共16层),2014年建造,隆泰家园东区,武清,上马台镇,云景道,南北 有电梯 ,47,4707
枫林湾！四十七万可议 装修 95平通透 出门是   繁华地段,2室,2厅,1卫,95,南北,高层(共6层),2012年建造,枫林湾,武清,河西务镇,王河支路,南北 满五年 ,45,4737
嘉泰翰林学府 停车方便 次新小区 有电梯 低容积 南北通透,2室,2厅,1卫,77,南北,低层(共8层),2021年建造,嘉泰翰林学府,津南,津南八里台,丰泽道,南北 满二年 车位充足 ,69,8962
出行方便 精装好房 带电梯 满五   医疗配套成熟 临地铁,2室,2厅,1卫,86.32,南,中层(共26层),2012年建造,首创国际城,塘沽,工农村街,泰达大街 近河北路,南 满五年 ,88,10195
急售 急售 龙顺园 精装修 看房方便 小区环境优美,2室,1厅,1卫,75.49,南北,中层(共24层),2016年建造,龙顺园,西青,大寺,泽润路,南北 满五年 ,75,9936
英伦花园107平米50万,2室,1厅,1卫,94.92,南北,低层(共22层),2012年建造,英伦花园,武清,大王古庄镇,乾元道2号,南北 满五年 ,50,5268
欣雅苑 小区新 南北通透 有电梯 满五   近地铁,3室,2厅,2卫,125.9,南北,低层(共18层),2016年建造,欣雅苑,塘沽,北塘街,嘉顺路 近欣发道,南北 满五年 ,110,8738
世侨唐墅 有电梯 小区新 中间楼层 三居室 送车位 送地下室,3室,2厅,1卫,98.96,南北,中层(共27层),2015年建造,世侨唐墅,武清,大王古庄镇,古达路,南北 满二年 ,80,8085
荣翠园 精装可拎包入住 刚需两居 商品住宅 带电梯 满五,2室,1厅,1卫,84.15,南北,低层(共16层),2015年建造,荣翠园,北辰,青光,北辰西道,南北 满五年 户型方正 ,86,10220
汇颐花园 中间楼层 业主忍痛割爱 价格还能聊,2室,1厅,1卫,101.13,南北,中层(共6层),2007年建造,汇颐花园,西青,李七庄,广秀路 近津涞公路,南北 近地铁 ,185,18294
梅江 商业配套成熟 大两居 次新小区 有电梯 满二 朝南,2室,2厅,1卫,95.27,南,低层(共24层),2023年建造,龙湖天曜,河西,梅江,梅江道,南 满二年 近地铁 次新房 ,354,37158
咸水沽 满五 中间好楼层 次新房 大两居 商业配套齐全 朝南,2室,2厅,1卫,89,南,中层(共33层),2020年建造,世茂璀璨公园,津南,咸水沽,界河路,南 满五年 次新房 ,105,11798
豆张庄镇 小区新 电梯房 双卫 南向采光好 满二,3室,2厅,2卫,198.47,南,低层(共17层),2015年建造,春熙里,武清,豆张庄镇,新安路,南 满二年 ,247,12446
凤河孔雀城98平米精装修83万,3室,1厅,1卫,98.85,南北,低层(共23层),2014年建造,凤河孔雀城,武清,大王古庄镇,古旺路9号,南北 满五年 ,83,8397
南北通透 满二 产权清晰 次新小区 精装可拎包入住 大两居,2室,1厅,1卫,86.96,南北,低层(共9层),2022年建造,中建城澜和湾,滨海新区,滨海城区,津同道 近金光路,南北 满二年 车位充足 ,89,10235
唐望府 医疗配套成熟 满五 带电梯 集中供暖 朝南,2室,1厅,1卫,88,南,低层(共26层),2015年建造,唐望府,塘沽,新河街,津塘公路,南 满五年 户型方正 ,95,10796
津南新城合茂园 朝南 临地铁 满二 停车方便 出行方便,2室,2厅,1卫,89,南,高层(共34层),2021年建造,津南新城合茂园,津南,咸水沽,尚德路,南 满二年 车位充足 ,95,10675
中建壹方九里锦澜华庭 带电梯 刚需小三居 装修好 中间好楼层,3室,2厅,2卫,109,南北,中层(共7层),2021年建造,中建壹方九里锦澜华庭,武清,杨村街,新开路,南北 满二年 车位充足 ,185,16973
社会山南苑 小区新 南向采光好 刚需两居 满五,2室,1厅,1卫,93.7,南,中层(共16层),2018年建造,社会山南苑,西青,张家窝,枣林大道 近祥和大道,南 满五年 ,133,14195
中 楼层（万科物业）地铁麦当劳 房型方正 独立餐厅 明厨明卫,2室,2厅,1卫,96.75,南北,高层(共22层),2010年建造,香雪苑,津南,双港,景荷道,南北 有电梯 近地铁 ,128,13230
小区新 南北通透 交通便捷 小三房 精装可拎包入住 近地铁,3室,2厅,1卫,91.92,南北,低层(共32层),2016年建造,桃源观邸,塘沽,工农村街,云山道 近靖海路,南北 房东直卖 满五年 绿化率高 ,153,16645
盛世嘉园 带电梯 临地铁 满五   朝南 低密度社区,2室,1厅,1卫,91.83,南,高层(共24层),2007年建造,盛世嘉园,河东,常州道,凤凰路 近凤山路,南 满五年 近地铁 ,157.4,17141
海怡园 正南朝向 双卫生间 电梯房 满二 停车方便,4室,2厅,2卫,148,南,低层(共8层),2020年建造,海怡园,大港,古林街,港东一道,南 满二年 车位充足 ,175,11825
融创三室南北东 三面朝阳户型 看房有钥匙,3室,1厅,1卫,97.56,南,高层(共21层),2019年建造,融创融园汇莲美苑,东丽,万新街,津滨大道,南 近地铁 次新房 ,165,16913
豆张庄镇 电梯房 满二 高楼层采光充足 小区新 朝南 大两居,2室,2厅,1卫,87.49,南,高层(共34层),2018年建造,经纬城市绿洲学府华庭,武清,豆张庄镇,新安路,南 满二年 ,96,10973
近医院 大两房 满二 有电梯 南向采光好 高楼层采光充足,2室,2厅,1卫,84.39,南,高层(共14层),2012年建造,馨达园(武清),武清,杨村街,雍阳东道,南 满二年 ,82,9717
天辰世纪天和丽园 近医院 出行方便 满五 临地铁 房龄新,3室,2厅,1卫,94.25,南,低层(共27层),2018年建造,天辰世纪天和丽园,北辰,天穆,顺义道18号,南 满五年 户型方正 ,128,13581
水木天成闻涛园新上H户型总价低婚房有车位,2室,1厅,1卫,85.76,南北,中层(共6层),2006年建造,水木天成闻涛园,红桥,咸阳北路街,团结环路,南北 ,172,20056
远洋新干线 近地铁 有电梯 南向采光好 满五 精装好房,2室,1厅,1卫,76.47,南,低层(共6层),2008年建造,远洋新干线,东丽,空港经济区,流霞路 近东六道,南 满五年 ,118,15431
大两房 临地铁 精装可拎包入住 南北通透 交通便利 电梯房,2室,2厅,1卫,95,南北,高层(共11层),2009年建造,新尚园,津南,双港,微山南路 近景荔道,南北 满五年 近地铁 ,125,13158
南北通透 停车方便 商品住宅 医疗配套成熟 小三房 有电梯,3室,2厅,1卫,98.04,南北,低层(共28层),2017年建造,融创御园,北辰,北仓,北辰道,南北 满二年 车位充足 ,182,18564
滨海红星天铂晗园100.0平134万3室2厅1卫,3室,2厅,1卫,100,南北,低层(共11层),2022年建造,滨海红星天铂晗园,滨海新区,中新生态城,川博道,南北 次新房 ,134,13400
天鹅湖一号近万达 满五 正南朝向 楼龄新,2室,2厅,1卫,89,南,低层(共26层),2015年建造,天鹅湖壹号,武清,杨村街,广源道,南 满五年 采光较好 ,75,8427
滨海城区 车位充足 南北通透 带电梯 次新小区 双卫生间,3室,2厅,2卫,100.71,南北,高层(共7层),2020年建造,景瑞塘沽湾陆号,滨海新区,滨海城区,国兴路,南北 满二年 车位充足 ,125,12412
香雪苑 大两房 满五 出行方便 正南朝向 带电梯 临地铁,2室,2厅,1卫,96.21,南,低层(共33层),2013年建造,香雪苑,津南,双港,景荷道,南 满五年 近地铁 ,135,14032
远洋心里 高楼层视野无遮挡 近医院 商圈成熟 商品房,3室,2厅,1卫,95,南北,高层(共30层),2015年建造,远洋心里,塘沽,新港街,大连东道,南北 满五年 近地铁 ,135,14211
金茂科学城 二期准现房 正常楼层 户型全明 看房方便,2室,2厅,1卫,83,南北,中层(共11层),2022年建造,上东金茂智慧科学城金悦雅苑,东丽,万新街,津滨大道,南北 唯一住房 近地铁 绿化率高 ,171,20603
找我一g点 蝶桥公寓  环境好  3室精装修  交通便利,3室,1厅,1卫,95.62,南北,中层(共7层),2000年建造,蝶桥公寓,河东,大直沽,八纬北路40号,南北 房东直卖 近地铁 ,177,18511
新登记 景杉园 干净三居 出行便利,3室,2厅,2卫,97,南北,高层(共18层),2015年建造,景杉园,滨海新区,中新生态城,和韵路1342号,南北 满五年 多人关注 ,119,12269
宫前园  2室 户型好私产可贷款！！,2室,1厅,1卫,91.76,西南,高层(共6层),2001年建造,宫前园,河东,大直沽,大直沽前街 近宫前街,西南 满五年 近地铁 多人关注 ,130,14168
哈兰庄园 正南朝向 低容积 大两房 电梯房 精装修,2室,2厅,1卫,83.67,南,中层(共18层),2016年建造,哈兰庄园,武清,泗村店镇,龙凤大道,南 满五年 多人关注 ,35,4184
中间楼层 大两房 出行方便 商圈成熟 南北通透 临地铁,2室,1厅,1卫,98,南北,中层(共6层),1999年建造,万隆花园,东丽,程林街,天山南路49号,南北 满五年 近地铁 ,139,14184
挥泪卖  海榕园电梯洋房  带阁楼 两室通厅 价格可以有钥匙,2室,1厅,1卫,96,南,高层(共8层),2018年建造,海榕园,大港,古林街,海景二路,南 满二年 ,127,13230
贻兴园   南北通透三室  有地下室   随时看房,3室,2厅,1卫,123.43,南北,中层(共6层),2010年建造,众智贻兴园,塘沽,杭州道街,车站北路880号,南北 满五年 近地铁 ,167,13530
万科物业自营 中间楼层 带洗碗机电动马桶 直通地库 价格可议,3室,2厅,1卫,98.83,南北,中层(共15层),2016年建造,万科城市之光(东丽),东丽,万新街,成林道,南北 满五年 户型方正 ,165,16696
宝翠花都瞰景园砖楼南北通透户型 前后无遮挡 户型方正,2室,2厅,1卫,92,南北,中层(共6层),2008年建造,宝翠花都瞰景园,北辰,瑞景街,环瑞路 近辰顺路,南北 满五年 近地铁 ,139,15109
大两居 产权清晰 南北通透 高楼层视野好 临地铁 商圈成熟,2室,1厅,1卫,109.27,南北,高层(共6层),2001年建造,都旺新城菊芳园,北辰,果园新村,北辰道226号,南北 满五年 ,115,10525
首创国际城 医疗配套成熟 高楼层视野无遮挡 满五 交通便捷,2室,2厅,1卫,96,南北,高层(共24层),2012年建造,首创国际城,塘沽,工农村街,泰达大街 近河北路,南北 满五年 ,115,11980
河西三片惠众家园 私产满两年 精装修两室朝南 次新房带电体！,2室,2厅,1卫,91,南,低层(共30层),2019年建造,惠众家园,河西,小海地,微山路,南 满二年 近地铁 次新房 ,175,19231
云禧郡海宁园 楼龄新 精装修 满五   中间好楼层,3室,2厅,1卫,99.76,南,中层(共9层),2018年建造,云禧郡海宁园,大港,古林街,港东三道,南 房东直卖 满五年 ,168,16841
融创中央学府(东区) 满五 商业配套成熟 带电梯 南向采光好,3室,2厅,1卫,106.85,南,中层(共32层),2016年建造,融创中央学府(东区),津南,海河教育园区,新慧路54号,南 满五年 户型方正 ,163,15256
水木八区 新上三楼明厅把边两室H户型有钥匙,2室,1厅,1卫,86.93,南北,共5层,2004年建造,水木天成阁林园,红桥,西沽街,团结环路 近江源东道,南北 ,178,20477
碧海长住 南北通透 电梯房 出行方便 近医院 商品房,2室,2厅,1卫,99.14,南北,中层(共30层),2020年建造,碧海长住,塘沽,新河街,车站北路627号,南北 有电梯 近地铁 次新房 ,125,12609
东部海川园电梯洋房提包入住 急卖,2室,2厅,1卫,99.22,南北,共5层,2016年建造,海川园,大港,古林街,海景一路,南北 满五年 ,128,12901
枫桥园 电梯 可 可贷款 近地铁,2室,1厅,0卫,90.16,南北,中层(共18层),2008年建造,枫桥园,西青,中北,汪庄村中街,南北 绿化率高 ,133,14752
东丽区新立街蓝庭馨苑3室1厅,3室,1厅,1卫,92.62,南北,高层(共15层),2016年建造,万科金域华府蓝庭馨苑,东丽,津塘路,津塘公路,南北 满五年 近地铁 多人关注 ,115,12417
装修好 南北通透 居住密度低 交通便利 临地铁 产权清晰,2室,2厅,1卫,107.63,南北,低层(共6层),2004年建造,莱茵春天,塘沽,杭州道街,车站北路,南北 满五年 ,170,15795
鸿坤原乡郡 小三房 带电梯 正南朝向 满二   房龄新,3室,2厅,1卫,91.08,南,低层(共27层),2016年建造,鸿坤原乡郡,武清,杨村街,滨河道 近泉奉路,南 满二年 车位充足 ,95,10431
大两居 满五   临地铁 有电梯 产权清晰 精装可拎包入住,2室,2厅,1卫,104.39,南北,共4层,2005年建造,远景庄园,塘沽,西大沽街,迎宾大道,南北 房东直卖 满五年 ,115,11017
杨柳青中心位置 三室精装 诚意出售 价格可议 省个税,3室,2厅,1卫,118.81,南,高层(共6层),2000年建造,新华里(西青),西青,杨柳青,西青道,南 满五年 ,122,10269
宝翠花都探景园 刚需小三居 精装修 交通便利 高楼层采光充足,3室,2厅,1卫,104.26,南,高层(共11层),2006年建造,宝翠花都探景园,北辰,瑞景街,龙泉道,南 满五年 近地铁 ,145,13908
莱茵春天 刚需两居 商品住宅 密度低 满五 近医院 临地铁,2室,2厅,1卫,101,南北,中层(共6层),2000年建造,莱茵春天,塘沽,杭州道街,车站北路,南北 满五年 ,128,12674
万科依润园小区 采光好 私产过五年,2室,2厅,1卫,90.06,南北,高层(共18层),2009年建造,万科依润园,西青,中北,万源路2号,南北 ,129,14324
110w 禹洲尊府空中小别墅 带阁楼 带露台 采光好电梯房,2室,2厅,1卫,88.24,南,高层(共26层),2015年建造,禹洲尊府,静海,静海镇,北华路 近春曦道,南 满五年 ,116,13146
远洋未来城冬博苑 满二   小三居 商品房 南北通透 近地铁,3室,2厅,1卫,104.3,南北,低层(共27层),2020年建造,远洋未来城冬博苑,北辰,普东街,宜白路,南北 满二年 近地铁 次新房 ,167.6,16070
福锦园精装两室通厅 中间好楼层 采光好 随时看房有钥匙,2室,2厅,1卫,93.6,南北,高层(共11层),2012年建造,港东未来城,大港,古林街,港东六道,南北 ,120,12821
天辰公寓 无公摊面积小区 2楼 超大明厅 2室 改善住宅,2室,1厅,1卫,98.14,南,低层(共6层),1990年建造,天辰公寓,北辰,北仓,京津公路521号,南 户型方正 ,117,11922
生态城起步区 季景华庭 通透俩室 120万配套齐全 价格可谈,2室,1厅,1卫,98,南北,高层(共17层),2013年建造,季景华庭,滨海新区,中新生态城,和旭路1060号,南北 满五年 车位充足 ,120,12245
诚心出售 价格能谈.,2室,1厅,1卫,85.58,南北,中层(共6层),2004年建造,红光家园,塘沽,胡家园街,新胡路,南北 满五年 ,91,10634
密度低 有电梯 南北通透 商业配套齐全 刚需两居 满二,2室,1厅,1卫,92,南北,中层(共24层),2010年建造,盛坤新苑,津南,小站,创新路,南北 满二年 ,55,5979
天穆东苑 中间楼层采光好 交通便利 朝南 满二 大两房,2室,1厅,1卫,86.49,南,中层(共18层),2008年建造,天穆东苑,北辰,天穆,京津公路,南 满二年 ,97,11216
天穆东苑 楼层好 临地铁 近医院 出行方便 大两房 朝南天穆,2室,1厅,1卫,86.49,南,中层(共18层),2008年建造,天穆东苑,北辰,天穆,京津公路,南 ,92,10638
胜利里 满五 大两居 商圈成熟 正南朝向 高楼层视野好,2室,2厅,1卫,99.66,南,高层(共6层),1986年建造,胜利里,大港,胜利街,育才路 近胜利街,南 满五年 ,58,5820
和苑小区雅和园 2室1厅1卫 金角 主卧朝南,2室,1厅,1卫,85.52,东南,高层(共18层),2012年建造,和苑雅和园,红桥,西营门街,铁北路29号,东南 ,105,12278
满五 南北通透 临地铁 低容积 得房好 刚需两居,2室,1厅,1卫,81,南北,低层(共11层),2011年建造,华城秋苑海春园,东丽,万新街,南新东街2号,南北 满五年 ,83,10247
湾区C位 澜和湾 通透两室 业主急售 价可谈 随时看房,2室,1厅,1卫,85.55,南北,低层(共9层),2020年建造,中建城澜和湾,滨海新区,滨海城区,津同道 近金光路,南北 满五年 车位充足 ,92,10754
南北通透 满五 税费低 业主诚意出售,2室,1厅,1卫,84.65,南北,中层(共17层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,南北 近地铁 ,100,11814
83.00就出红磡领世郡普泰花园 精装大两居,2室,2厅,1卫,88.25,南,低层(共18层),2005年建造,红磡领世郡普泰花园,津南,双港,领世环路,南 满五年 近地铁 多人关注 ,85,9632
中节能远景城 大两居 交通便利 楼层好 医疗配套成熟 次新房,2室,1厅,1卫,84.35,南,中层(共24层),2019年建造,中节能远景城,蓟州,文昌街,兴华大街,南 满五年 次新房 ,108,12804
城际美景 交通便捷 满五 商品房 临地铁 刚需两居,2室,2厅,1卫,83,南,低层(共6层),2008年建造,城际美景,北辰,双街镇,双川道 近双辰北路,南 满五年 ,82,9880
东升里(北辰) 低容积 临地铁 购物方便 大两房 朝南,2室,1厅,1卫,81.57,南,中层(共6层),1995年建造,东升里(北辰),北辰,果园新村,果园北道36号,南 户型方正 ,106,12995
鸿儒新园(北区) 正规商品房 小区新 有电梯 刚需小三居,3室,2厅,1卫,94.91,南,低层(共18层),2015年建造,鸿儒新园(北区),津南,北闸口,津岐公路 近泽惠道,南 满二年 车位充足 ,71,7481
合景领峰领峰园 满二 电梯房 中间好楼层 商品房 双卫,3室,2厅,2卫,115,南北,中层(共11层),2019年建造,合景领峰领峰园,塘沽,渤海石油街,庆盛道,南北 满二年 次新房 ,190,16522
业主置换急 出门商业季景华庭 配套成熟 精装车位 看房方便,2室,2厅,1卫,87,南,中层(共16层),2006年建造,季景华庭,滨海新区,中新生态城,和旭路1060号,南 满二年 车位充足 ,99,11380
百亿补贴 可议汇福华庭 南北通透 交通便捷 高楼层采光充足,2室,1厅,1卫,108.65,南,高层(共10层),2004年建造,汇福华庭,南开,兴南街,五福街,南 满五年 近地铁 车位充足 ,527,48505
陈塘庄 南北通透 近地铁 商业配套齐全 近医院 精装修,2室,1厅,1卫,85.8,南北,高层(共6层),2005年建造,龙博花园,河西,陈塘庄,泗水道 近学苑路,南北 VIP房东直卖 满五年 近地铁 ,195,22728
带地下车位 可贷款 过五年 住房 税费低,2室,2厅,1卫,92,南北,中层(共11层),2015年建造,澜湾花园,西青,中北,津杨路,南北 ,185,20109
桂江里(滨海) 南北通透 大两居 商业配套成熟 楼层好,2室,2厅,1卫,81,南北,中层(共6层),2001年建造,桂江里(滨海),塘沽,新河街,广州道,南北 满五年 ,83,10247
津南新城合雅园 商品住宅 商业配套成熟 电梯房 集中供暖,3室,2厅,1卫,86,南北,高层(共33层),2019年建造,津南新城合雅园,津南,咸水沽,尚德路,南北 满二年 次新房 ,104,12094
梅宏园大园 H户型 过五年无二套 税低 有钥匙随时看价可议,2室,1厅,1卫,89.69,南北,高层(共6层),1999年建造,梅宏园(北区),河北,建昌道街,杜鹃道,南北 近地铁 ,90,10035
滨海智谛山 新出精装两室 带阳台落地窗 有车位      ,2室,2厅,1卫,89.9,南北,高层(共25层),2020年建造,滨海智谛山,塘沽,杭州道街,洞庭路,南北 绿化率高 ,90,10012
盛星东海岸精装修2室东西全留诚心出售有  有菜市场有地铁,2室,2厅,1卫,85.4,南北,高层(共32层),2008年建造,盛星东海岸,塘沽,工农村街,云山道 近谐海路,南北 ,87,10188
好楼层精装修满五  楼下十中跟东城  ,2室,2厅,1卫,87.79,南北,低层(共24层),2010年建造,汇德园,大港,古林街,海景七路,南北 房东直卖 满五年 ,105,11961
海宁园别墅 精装修 另有阁楼不算房本面积  可议 随时看房,3室,3厅,3卫,129.09,南北,共3层,2017年建造,云禧郡海宁园(别墅),大港,古林街,港东三道,南北 价格优惠 房东急售 交易周期可谈 ,275,21303
捡 漏！联排中户地 4层  送阁楼花园车位!,3室,2厅,3卫,205,南北,共3层,2016年建造,首创采薇雅苑(别墅),武清,高村镇,书院道 近凤港路,南北 满五年 绿化率高 ,220,10732
新上房源   荣康园  两梯五户  高楼层,2室,1厅,1卫,82.96,南北,高层(共27层),2015年建造,双青新家园荣康园,北辰,青光,北辰西道,南北 ,63,7595
临地铁 医疗配套成熟 正南朝向 有电梯 交通便捷 大两房,2室,1厅,1卫,87.81,南,低层(共24层),2008年建造,天穆东苑,北辰,天穆,京津公路,南 有电梯 ,95,10819
爱情花园里熙悦北苑 次新小区 南北通透 小三居 带电梯,3室,2厅,1卫,89,南北,低层(共7层),2021年建造,爱情花园里熙悦北苑,津南,津南八里台,丰泽道,南北 满二年 车位充足 户型方正 ,90,10113
大都会 观文轩 精装婚房 中央空调 带车位 小高公摊小 诚售,3室,2厅,2卫,120,南北,中层(共20层),2020年建造,万科滨海大都会观文轩,滨海新区,滨海城区,大连东道,南北 次新房 多人关注 ,235,19584
大两居 临地铁 交通便利 楼层好 南向采光好,2室,1厅,1卫,87.38,南,中层(共18层),2013年建造,淮盛园,北辰,普东街,姚江东路 近淮河南道,南 近地铁 ,110,12589
出售金水湾三室27万,3室,1厅,1卫,110,南北,中层(共7层),2019年建造,金水湾(武清),武清,王庆坨镇,津同公路151号,南北 满二年 次新房 ,27,2455
宝龙城北苑~配套齐全~只有契税~无遮挡~靠谱,3室,2厅,1卫,90,南北,高层(共11层),2010年建造,宝龙城北苑,滨海新区,中新生态城,海晨道,南北 满五年 ,105,11667
朗诗中福翡翠澜湾朗润园152.0平220万4室2厅2卫,4室,2厅,2卫,152,南北,共4层,2020年建造,朗诗中福翡翠澜湾朗润园,滨海新区,中新生态城,明盛路,南北 热门小区 价格优惠 房东急售 ,220,14474
渤海石油街 正规商品房 出行方便 满五 精装修 大两居,2室,1厅,1卫,81.56,南北,共5层,1991年建造,渤海石油蓝苑北区,塘沽,渤海石油街,东盐路,南北 满五年 ,95,11648
裕泰家园 购物方便 非顶楼层采光充足 南北通透紧邻地铁,2室,1厅,1卫,81.05,南北,高层(共7层),2001年建造,裕泰家园,河北,新开河街,孟家树林大街68号,南北 满五年 近地铁 ,107,13202
紫瑞园 H户型南北通透 诚意出售 配套成熟,2室,1厅,1卫,84.64,南北,高层(共6层),2006年建造,紫瑞园,北辰,瑞景街,丁字沽3号路,南北 近地铁 ,92,10870
（新登记）贻成豪庭 全阳大一室 可改两室 中间楼层 我有钥匙,1室,1厅,1卫,72,南,高层(共32层),2012年建造,贻成豪庭,塘沽,工农村街,塘汉路789号,南 满五年 ,76,10556
精武 电梯房 次新房 正南朝向 满二 小三房,3室,2厅,1卫,95.92,南,低层(共11层),2021年建造,金地艺墅家嘉泽苑,西青,精武,迎水南路,南 满二年 次新房 ,215,22415
远洋未来城冬博苑 满二 电梯房 次新房 正规商品房 南北通透,3室,1厅,2卫,117,南北,中层(共22层),2021年建造,远洋未来城冬博苑,北辰,普东街,宜白路,南北 满二年 近地铁 次新房 ,188,16069
南湖   南湖中学 花郡家园 带装修两句低总价,2室,1厅,1卫,79,南,低层(共15层),2013年建造,花样年花郡,武清,下朱庄街,天和路 近于庄路,南 满二年 ,58,7342
滨瑞花园 精装全明两室 小区中心 好楼层 过五年少税 随时看,2室,1厅,1卫,81.08,南北,中层(共26层),2017年建造,远洋城滨瑞花园,塘沽,胡家园街,远洋城一支路,南北 满五年 ,85,10484
北师大隔壁叠拼下叠 带200平米小院 无遮挡 着急卖价格能谈,3室,2厅,3卫,147,南北,共4层,2023年建造,天铂澜园,滨海新区,滨海城区,荣盛路,南北 满二年 次新房 多人关注 ,245,16667
急售 60 金友花园 五    商品住宅 商圈成熟 电梯房,2室,1厅,1卫,81.76,南北,高层(共26层),2012年建造,金友花园,西青,大寺,赛达大道,南北 满五年 ,74,9051
云锦世家(北区) 满五   小区绿化高 双卫生间 朝南,3室,2厅,2卫,131.7,南,低层(共26层),2016年建造,云锦世家(北区),西青,中北,星光路 近卉康道,南 满五年 绿化率高 ,200,15187
阳光100国际新城东园 带电梯 满二 近地铁 出行方便,3室,2厅,2卫,150.19,西南,中层(共9层),2007年建造,阳光100国际新城东园,南开,体育中心,秀川路,西南 满二年 多人关注 ,285,18976
港韵新苑 带电梯 满五 房龄新 朝南汊沽港镇居家自住 保养好,2室,1厅,1卫,76.34,南,低层(共11层),2015年建造,港韵新苑,武清,汊沽港镇,富国路,南 满五年 ,57.5,7533
性价比高 带车位 看房提前联系,3室,1厅,1卫,90,南北,中层(共30层),2017年建造,远洋城滨雅花园,塘沽,胡家园街,远洋一支路,南北 满五年 ,103,11445
新上大都会4室 南北通透 带子母车位 看房随时联系佳诺,4室,2厅,2卫,165,南北,高层(共39层),2014年建造,天汇雅苑(天津大都会),和平,南市,大都会5号,南北 满五年 近地铁 采光较好 ,980,59394
生态城！宝龙城！  小三居精装 临地铁 次新房 带车位,3室,2厅,1卫,89.24,南北,低层(共11层),2021年建造,宝龙城北苑,滨海新区,中新生态城,海晨道,南北 满五年 次新房 ,105,11767
青光 次新房 停车方便 满五 大两居 带电梯 正南朝向,2室,1厅,1卫,82.55,南,低层(共26层),2019年建造,荣乐园,北辰,青光,新致道,南 满五年 车位充足 ,70,8480
国耀上河城 刚需两居 精装修 正规商品房 南北通透 出行方便,2室,1厅,1卫,91.43,南北,高层(共34层),2013年建造,国耀上河城,北辰,双街镇,双新大道 近顺境路,南北 满五年 ,105,11485
急急急！中间楼层。临近地铁站。业主急卖。小区环境好。,2室,1厅,1卫,86.92,南北,中层(共17层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,南北 满五年 近地铁 ,96,11045
  房源！诚信卖！位置极好！无遮挡！滨海小外  ！带车位,2室,2厅,1卫,84,南北,中层(共28层),2019年建造,吾悦华邸(滨海),塘沽,工农村街,黄山道,南北 满五年 次新房 ,89,10596
和溪园 万达商圈 紧邻星光汇 惠风溪公园 位置好 精装修,2室,2厅,1卫,82,南北,低层(共25层),2022年建造,和溪园,滨海新区,中新生态城,和意路 近218省道,南北 次新房 ,106,12927
中建壹方九里宸澜华庭 朝南 刚需两居 次新房 有电梯,2室,1厅,1卫,84,南,高层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,南 满二年 次新房 ,137,16310
房龄新 刚需小三居 满二 南北通透 正规商品房 精装好房,3室,2厅,1卫,109.62,南北,低层(共32层),2016年建造,富力尚悦居,武清,杨村街,雍和道 近与翠通路,南北 满二年 ,155,14140
2023年年底好房推荐。采光好 带卫生间。,1室,0厅,1卫,11.64,南北,共2层,1989年建造,河北路小区(和平),和平,小白楼,河北路,南北 近地铁 ,138,118557
