待售房屋,室,厅,面积(平方米),楼层,小区名称,区,镇,道路,标签,价格,价格单位
必租好房，中信附近，慧翔龙苑，两室简装,2,1,80,中层(共16层)                                                    ,慧翔龙苑,武清,杨村街,京津公路,"随时看房,",1350,元/月
劝业场 1室1厅1卫,1,1,30.30,共3层                                                    ,劝业场,和平,,,"邻地铁,押一付一,配套齐全,精装修,",2000,元
秀水馨苑 2室1厅1卫 1800.0元 100.0平米,2,1,100.0,低层(共6层)                                                    ,秀水馨苑,北辰,小淀,北仓道,,1800,元/月
义江里 2室1厅1卫 1800.0元 精装修64.0平米,2,1,64.0,高层(共6层)                                                    ,义江里,河北,靖江路街,岷江路10号,"邻地铁,精装修,",1800,元/月
整租  张贵庄街  津门里  2室1厅,2,1,59.74,低层(共6层)                                                    ,津门里,东丽,利津路,"招远路,近栖霞道","邻地铁,配套齐全,",1500,元/月
整租  兴南街  怀庆里  1室1厅,1,1,33.86,高层(共7层)                                                    ,怀庆里,南开,兴南街,南开二马路187号,"邻地铁,精装修,",2000,元/月
鸿雁里 2室2厅1卫 1000.0元 81.0平米,2,2,81.0,低层(共6层)                                                    ,鸿雁里,蓟州,渔阳镇,人民西路,,1000,元/月
秋瑞家园 2室1厅1卫 2200.0元 电梯房 82.6平米,2,1,82.6,低层(共17层)                                                    ,秋瑞家园,北辰,瑞景街,瑞景西道5号,"邻地铁,",2200,元/月
中乒公寓简装两室，室内设施齐全，拎包入住,2,1,85,中层(共8层)                                                    ,中乒公寓,河西,友谊路,友谊路,"邻地铁,南北通透,随时看房,",2900,元/月
王串场 玉容花园 一室 四楼 拎包入住 看房有钥匙,1,1,42.48,中层(共6层)                                                    ,玉容花园,河北,王串场街,小革新道19,"邻地铁,配套齐全,南北通透,",1600,元/月
必租好房，中信附近，五一阳光锦园，简装一室,1,1,63,高层(共16层)                                                    ,五一阳光锦园,武清,杨村街,"团结路,近强国道","随时看房,",1300,元/月
近天津站 二实验 巨福新园 整租两室 随时看房,2,2,109.89,共5层                                                    ,巨福新园,河东,春华街,新开路136号,"邻地铁,配套齐全,有阳台,",3500,元/月
实拍！城东，现代城一室一厅带电梯，家电齐全，900月停车方便,1,1,44,中层(共11层)                                                    ,山水颐城,蓟州,文昌街,"东环路,近迎宾大街","配套齐全,随时看房,",900,元/月
蓝光精装修两室，拎包入住，交通便利,2,1,85,高层(共32层)                                                    ,蓝光雍锦香颂,津南,咸水沽,四里沽路,"配套齐全,精装修,有阳台,首次出租,",2000,元/月
业主进店登记随时看房，好房！好房！所见即真实，价格可谈大商量,1,1,39,高层(共29层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,配套齐全,精装修,",2100,元/月
新上！奥城精装 可短租 家具齐全 拎包入住 有钥匙 价格可议,1,1,54,高层(共25层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,配套齐全,精装修,",2450,元/月
天津瑞府 高档住宅近地铁 双阳卧室精装修 干湿分离卫生间,3,2,104,高层(共33层)                                                    ,天津瑞府,河西,梅江,洞庭路92号,"邻地铁,配套齐全,精装修,",7000,元/月
世茂玖熙 3室2厅2卫 3000.0元 电梯房 精装修,3,2,123.0,中层(共18层)                                                    ,世茂玖熙,滨海新区,中新生态城,"中津大道,近中天大道","精装修,",3000,元/月
北师大旁，基业二室，拎包入住2000元,2,2,83,中层(共20层)                                                    ,基业世琾,静海,团泊镇,"常海道,近北华北路","配套齐全,精装修,南北通透,有阳台,",2000,元/月
桃源观邸 精装2室 家电全新 采光无遮挡 出行方便 看房联系,2,2,89.39,低层(共21层)                                                    ,桃源观邸,塘沽,工农村街,"云山道,近靖海路","配套齐全,精装修,有阳台,首次出租,",2400,元/月
民康园 2室1厅1卫 精装修 南北通透 配套齐全,2,1,53.32,中层(共24层)                                                    ,民康园,红桥,西营门街,营雅路,"配套齐全,精装修,南北通透,有阳台,",1500,元/月
业主进店登记随时看房，好房！好房！所见即真实，价格可谈大商量,1,1,54,中层(共18层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,配套齐全,精装修,",2500,元/月
出租 近地铁 未来城 思雅苑 精装 设施齐全 两室 随时看房,2,1,82,高层(共29层)                                                    ,远洋未来城万玥书院,北辰,普东街,宜白路,"邻地铁,配套齐全,精装修,",2500,元/月
南益名士华庭玫瑰苑 2室1厅1卫,2,1,93,高层(共18层)                                                    ,南益名士华庭玫瑰苑,塘沽,新河街,"名盛道,近华庭路","配套齐全,精装修,南北通透,首次出租,",2000,元
经纬2期学府华庭首租三居紧邻杨一拎包入住,3,2,124,中层(共26层)                                                    ,经纬城市绿洲学府华庭,武清,豆张庄镇,新安路,"精装修,南北通透,首次出租,随时看房,",2500,元/月
五大街永旺，天津港贻航国际附近，启航家园两室，南北通押一付一,2,1,85,低层(共25层)                                                    ,启航嘉园,开发区,第五大街,跃进路,"邻地铁,押一付一,配套齐全,",2260,元/月
紫乐名轩 ，陪读大面积 双地铁带车位 随时可以入住,2,1,100,低层(共32层)                                                    ,紫乐名轩,河东,一号桥,龙涵道382号,"邻地铁,配套齐全,精装修,",4000,元/月
滨海西站附近，精装修两室，南北通透，家具家电齐全，房东好说话,2,1,67,高层(共18层)                                                    ,中交春风海上,滨海新区,滨海城区,华山道,"配套齐全,精装修,南北通透,有阳台,",1699,元/月
欣昌苑新出优惠精装两室  交通方便  早市近,2,2,86,高层(共24层)                                                    ,欣昌苑,塘沽,北塘街,欣滨道,"配套齐全,精装修,有阳台,随时看房,",1500,元/月
秀峰里，财大地铁站附近，菜市场对面，人人乐附近，包取暖,2,1,60,高层(共6层)                                                    ,秀峰里小区,河西,陈塘庄,陵水道,"邻地铁,配套齐全,南北通透,",2150,元/月
两室三楼   家具家电齐全,2,1,65,共5层                                                    ,渤海花园,塘沽,渤海石油街,石油新村路,"配套齐全,精装修,南北通透,有阳台,",1600,元/月
西青万达广场馨睦家园电梯精装两室2100免费停车,2,1,70,高层(共27层)                                                    ,馨睦家园,西青,大寺,津港公路,"配套齐全,精装修,南北通透,有阳台,",2100,元/月
意境兰庭 精装两室 随时入住 位置配套好,2,2,84,高层(共18层)                                                    ,意境兰庭,东丽,空港经济区,"东六道,近兴宇路","配套齐全,精装修,南北通透,有阳台,",2700,元/月
出租裕达家园两室一厅拎包入住3000元,2,1,84,高层(共15层)                                                    ,裕达家园,西青,中北,幸福街,"邻地铁,配套齐全,精装修,",3000,元/月
保利拾光年精装两室77平米，拎包入住有钥匙随时看房 家具家电,2,1,76.78,低层(共18层)                                                    ,保利拾光年和光北苑,西青,海泰高新区,"海泰大道,近华科大街","配套齐全,精装修,有阳台,随时看房,",2500,元/月
津洲花园精装修两室半年起租随时看房拎包入住,2,1,96,低层(共30层)                                                    ,津洲花园,西青,侯台,东环路,"配套齐全,精装修,有阳台,随时看房,",2300,元/月
整租  一号桥  和馨家园  2室1厅,2,1,80.58,低层(共33层)                                                    ,凯旋门,河东,中山门,"月牙河北路,近津塘路","邻地铁,精装修,",3000,元/月
靖博园 两室一厅 豪华装修 南北通透  拎包入住,2,1,76,低层(共32层)                                                    ,靖博园,津南,双港,浯水道,"邻地铁,配套齐全,精装修,",2500,元/月
康汇医院 赛达旁大寺整租！月付好房！无中J直租 拎包住精装修,1,1,41.32,低层(共6层)                                                    ,赤龙家园,西青,大寺,友谊南路,"押一付一,配套齐全,南北通透,有阳台,",900,元/月
仁恒海河广场 2室2厅2卫 114平 豪华装修 电梯房,2,2,114.17,低层(共33层)                                                    ,仁恒海河广场,南开,鼓楼,东马路131号,"邻地铁,配套齐全,精装修,",6800,元/月
绿城 春熙明月三室两卫 豪华装修出租 家具 家电齐全 拎包住,3,2,127,低层(共26层)                                                    ,绿城春熙明月清波苑,静海,静海镇,"北华路,近东昌道","配套齐全,精装修,南北通透,有阳台,",3000,元/月
高新区地铁站边上保利和光尘樾精装两室出租拎包入住价格可以谈,2,1,78,高层(共18层)                                                    ,保利和光尘樾,西青,精武,"才智道,近学府中路","邻地铁,配套齐全,精装修,",2600,元/月
万科西华府芳华苑 3室2厅2卫 4000.0元 电梯房,3,2,116.0,中层(共7层)                                                    ,万科西华府芳华苑,西青,侯台,海泰南北大街,"精装修,",4000,元/月
邻近六号线渌水道地铁口。可以合租,3,1,97,高层(共22层)                                                    ,泓荷园,津南,双港,浯水道95号,"邻地铁,押一付一,配套齐全,",2800,元/月
整租  二号桥  建新东里  2室1厅,2,1,59.02,高层(共6层)                                                    ,建新东里(北区),河东,二号桥,先锋路,"邻地铁,精装修,",1800,元/月
保利拾光年两室精装76平米，拎包入住,2,1,76,低层(共18层)                                                    ,保利拾光年和光北苑,西青,海泰高新区,"海泰大道,近华科大街","配套齐全,精装修,有阳台,首次出租,",2400,元/月
精装修  价格便宜 电梯房 南北通透,2,1,78,高层(共17层)                                                    ,世纪祥和新园,塘沽,新港街,新港三号路,"配套齐全,精装修,南北通透,",2300,元/月
业主进店登记随时看房，好房！好房别错过！给配床价格可谈大商量,1,1,63,高层(共29层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,配套齐全,精装修,",3000,元/月
汉沽三中旁，桥园里电梯房两室一厅精装修拎包入住,2,2,90,高层(共18层)                                                    ,桥园里小区(滨海),汉沽,河西,五经路,"配套齐全,精装修,南北通透,有阳台,",1200,元/月
营口道地铁13号线精装出租，滨江道五大道附近，可短租。,1,1,60,低层(共50层)                                                    ,诚基中心国际公寓,和平,体育馆,南京路125号,"邻地铁,押一付一,配套齐全,",2700,元/月
开发区附近天狮大学，云河park复试设施齐全拎包入住随时看房,1,1,41,共5层                                                    ,云河Park,武清,杨村街,翠亨路,"押一付一,配套齐全,精装修,有阳台,",1200,元/月
价格可议，蓝岸森林 2室1厅1卫  精装修76.0平米,2,1,76.0,高层(共6层)                                                    ,蓝岸森林,北辰,北仓,京津路1号,"配套齐全,精装修,南北通透,有阳台,",1500,元/月
芥园街 2室1厅1卫,2,1,65,中层(共7层)                                                    ,芥园街,红桥,,,"邻地铁,配套齐全,精装修,首次出租,",2500,元
整租 可短租月付 中北镇 2号线曹庄 精装拎包入住,1,1,35,低层(共12层)                                                    ,溪清苑,西青,中北,中北大道,"押一付一,配套齐全,精装修,有阳台,",1600,元/月
诗景凤苑 电梯房 南北通透 家电齐全 拎包入住,2,1,86.9,中层(共34层)                                                    ,诗景凤苑,河北,建昌道街,诗景路,"邻地铁,配套齐全,南北通透,",3200,元/月
东丽开发区国际医疗器械产业园 1室 34平 豪华装修,1,0,28,低层(共8层)                                                    ,东丽开发区国际医疗器械产业园,东丽,新立镇,五经路16号,"邻地铁,押一付一,配套齐全,",1650,元/月
诚基角房，干净便宜，地铁上建，交通便利，商圈方便，手慢无。。,1,1,51.51,高层(共49层)                                                    ,诚基中心国际公寓,和平,体育馆,南京路125号,"邻地铁,配套齐全,精装修,",2300,元/月
近开里精装2室干净整洁拎包入住,2,1,57,共4层                                                    ,近开里,塘沽,新港街,"新港三号路,近港医路","配套齐全,精装修,南北通透,有阳台,",2000,元/月
汉沽六中附近馨月庭苑两室精装修拎包入住！,2,1,90,高层(共25层)                                                    ,馨月庭苑,汉沽,河西,一经路,"配套齐全,精装修,有阳台,随时看房,",1200,元/月
整租 海汇名邸 精装大一室 紧邻海河中学 台湾路小学旁 急租,1,1,50,高层(共33层)                                                    ,天津公馆(公寓),河西,大营门,绍兴道1号,"邻地铁,配套齐全,精装修,",3600,元/月
恒悦华府 三室两厅一卫 新房精装修 家电齐全拎包入住,3,2,110,低层(共33层)                                                    ,恒大悦府,津南,咸水沽,317省道,"邻地铁,配套齐全,精装修,",2100,元/月
可短租月付 价格可议9号线中山门 天津艺术职业学院 金地广场,1,0,40,低层(共32层)                                                    ,雅仕兰庭,河东,富民路,月牙河南路35号,"邻地铁,押一付一,配套齐全,",1700,元/月
整租  新立街  蓝庭公寓  2室1厅,2,1,51.59,高层(共8层)                                                    ,蓝庭公寓,东丽,新立镇,"旌智道,近新英路","精装修,",1900,元/月
房子精装修有电梯随时看房，随时入住，业主诚心出租,2,1,80,高层(共18层)                                                    ,金丽花园,西青,李七庄,津涞道,"邻地铁,配套齐全,精装修,",2600,元/月
悦光年精装两室1300元设施齐全随时看房,2,1,41,共5层                                                    ,悦光年威壹汽车中心,武清,杨村街,京福公路,"配套齐全,精装修,有阳台,随时看房,",1300,元/月
蓝光两居室，家具家电齐全拎包入住，长租短租都可以，长租还有优,2,1,86,低层(共32层)                                                    ,蓝光雍锦香颂,津南,咸水沽,四里沽路,"配套齐全,精装修,有阳台,随时看房,",1300,元/月
荣畅园 1室1厅1卫 1600.0元 电梯房 精装修,1,1,63.0,高层(共27层)                                                    ,荣畅园,北辰,北仓,嘉定西路,"精装修,",1600,元/月
程林一村 1室0厅1卫,1,0,30,共5层                                                    ,程林一村,东丽,程林街,程春路,"押一付一,配套齐全,精装修,",1300,元
新河街道1室1厅1卫 随时入住 接受短租 出行方便 看房方便,1,1,43,共5层                                                    ,高新里,塘沽,新河街,安顺道,"配套齐全,精装修,南北通透,有阳台,",1500,元/月
龙熙帝景 2室精装修电梯5层 干净整洁 自家住的房 拎包入住,2,1,92,低层(共17层)                                                    ,龙熙帝景,宝坻,钰华街,环城南路,"配套齐全,精装修,南北通透,有阳台,",1100,元/月
可短租！可3人合租 蓝庭公寓 精装全齐三室 随时看房,3,1,51.59,高层(共8层)                                                    ,蓝庭公寓,东丽,新立镇,"旌智道,近新英路","配套齐全,精装修,有阳台,",1800,元/月
林奇郡精装高层  配套齐全 随时看房,2,1,91,中层(共30层)                                                    ,林奇郡瀛湖湾,静海,团泊镇,205国道,"精装修,随时看房,",1400,元/月
富家湾三室两卫有阁楼 干净整洁不存在老化2100元,3,2,90,共5层                                                    ,富家湾,西青,精武,付村路,"配套齐全,精装修,南北通透,有阳台,",2100,元/月
可短租月付 中北镇 城建大学 节能大厦 高银金融117大厦,1,0,30,低层(共10层)                                                    ,云锦世家(南区),西青,中北,星光路,"押一付一,配套齐全,精装修,南北通透,",1650,元/月
芥园西道地铁 精装两室 家具家电齐全 干净整洁 拎包入住,2,1,54,中层(共6层)                                                    ,芥园中里,南开,向阳路,芥园西道,"邻地铁,配套齐全,精装修,",2300,元/月
新上好房地铁9号靠近津塘路187 拎包入住家具家电齐全,1,1,32.27,高层(共6层)                                                    ,津塘路187号小区,河东,二号桥,津塘路187号,"邻地铁,配套齐全,精装修,",1300,元/月
荣欢园 2室1厅1卫 1600.0元 电梯房 精装修,2,1,73.0,低层(共27层)                                                    ,荣欢园,北辰,青光,欣永路,"精装修,",1600,元/月
新园里(滨海)  精装修两室 拎包入住 看房方便,2,1,45,共5层                                                    ,新园里(滨海),塘沽,杭州道街,苏州路,"配套齐全,精装修,有阳台,",1450,元/月
一楼一楼 便宜 家电设施齐全 可直接拎包入住 周边配套齐全.,1,1,39.69,低层(共6层)                                                    ,东升里(北辰),北辰,果园新村,果园北道36号,"配套齐全,有阳台,随时看房,",1200,元/月
南开天塔喜马拉雅包物业包采暖精装全齐可押一付一看房方便有钥匙,1,1,54,中层(共39层)                                                    ,阳光100天塔喜马拉雅,南开,水上公园,"天塔道,近卫津南路","邻地铁,押一付一,配套齐全,",3450,元/月
宝福家园 采光好拎包入1室1厅1卫 精装修 62平 电梯房,1,1,62,中层(共27层)                                                    ,宝福家园,津南,双港,"渌水道,近桐林路","邻地铁,配套齐全,精装修,",1600,元/月
紧邻北师大学校 天铂曜园  精装三室 空房 有钥匙,3,2,100,高层(共11层)                                                    ,滨海红星天铂曜园,滨海新区,中新生态城,新平道,"配套齐全,精装修,南北通透,有阳台,",2000,元/月
泉江里小区 2室1厅1卫 1900.0元 精装修离市场近购物,2,1,72.14,高层(共6层)                                                    ,泉江里小区,河北,月牙河街,上江路,"配套齐全,精装修,有阳台,",1900,元/月
接受短租 领秀城两居 拎包入住 有电梯 随时看 600月,2,2,89,低层(共22层)                                                    ,灵秀丽苑,宝坻,海滨街,津围公路,"配套齐全,有阳台,随时看房,",600,元/月
玉皇里 海光寺地铁站 一附属医院 天津大学 总医院  金融街,1,1,50,高层(共6层)                                                    ,玉皇里,南开,万兴街,鞍山西道,"配套齐全,南北通透,有阳台,",2000,元/月
红磡花园 中楼层3室2厅 万德庄大街 1号线海光寺站 随时住,3,2,135,中层(共6层)                                                    ,红磡花园,南开,万兴街,万德庄南北街,"邻地铁,配套齐全,南北通透,",4800,元/月
肿瘤医院地铁站 中楼层一室 全南向采光佳 钥匙看房拎包入住,1,1,39.14,共5层                                                    ,宾水东里,河西,天塔,"宾水道,近沿河路","邻地铁,精装修,随时看房,",1780,元/月
一室出租家电齐全，全阳面户型！,1,1,47,低层(共24层)                                                    ,运通花园,西青,中北,外环西路,"邻地铁,配套齐全,有阳台,",1400,元/月
重阳里大独单  东西齐全  卫生干净  性价比高,1,1,63,高层(共6层)                                                    ,阳春里,大港,迎宾街,霞光路,"配套齐全,南北通透,有阳台,随时看房,",950,元/月
景阳里 中间楼层 看房方便 干净 兰州道,1,1,33.32,中层(共8层)                                                    ,景阳里,和平,南营门,昆明路5号,"邻地铁,精装修,随时看房,",3000,元/月
整租  兴南街  耀远里  1室1厅  二纬路  急租,1,1,38.82,低层(共6层)                                                    ,耀远里,南开,兴南街,南开二纬路,"邻地铁,精装修,",2150,元/月
万达青年城 1室1厅1卫 1300.0元 电梯房,1,1,49.0,低层(共18层)                                                    ,万达青年城,北辰,小淀,华盛道65号,"邻地铁,",1300,元/月
房子出租    两室干净  家具家电齐全,2,1,74,共5层                                                    ,渤海石油蓝苑南区,塘沽,渤海石油街,东盐路,"配套齐全,南北通透,有阳台,随时看房,",1600,元/月
新出 洋货附近 西邻村 干净2室 随时看房 拎包入住,2,1,70,高层(共7层)                                                    ,西邻村小区,塘沽,向阳街,向阳街,"邻地铁,精装修,随时看房,",1500,元/月
富龙湾出租 一室 拎包入住 蓟县房源 长租短租的都有,1,1,62.45,共1层                                                    ,富龙湾,蓟州,渔阳镇,人民西路,"南北通透,随时看房,",1000,元/月
亲和康园 1室1厅1卫 48平 电梯房 1300月随时看房,1,1,67.35,低层(共11层)                                                    ,亲和康园,西青,大寺,泽恩路,"押一付一,随时看房,",1300,元/月
金堤里 1室1厅1卫,1,1,12.20,高层(共19层)                                                    ,金堤里,南开,王顶堤,复康路,"邻地铁,",1350,元/月
南仓新苑 1室1厅1卫 1600.0元 电梯房,1,1,63.89,低层(共28层)                                                    ,南仓新苑,北辰,北仓,南仓道,,1600,元/月
有暖气，随时看房有钥匙家电齐全拎包扼住,1,1,48.75,高层(共6层)                                                    ,东风北里,汉沽,寨上街,"东风南路,近人民街","配套齐全,精装修,有阳台,随时看房,",800,元/月
建昌道  育红东里俩室简单装修家具家电齐全1500,2,1,52.29,共5层                                                    ,育红东里,河北,建昌道街,育红路7号,"邻地铁,配套齐全,南北通透,",1500,元/月
出租顺和园两室一厅简装装修，拎包入住。,2,1,85,中层(共11层)                                                    ,顺和园,津南,双港,汇川路,"邻地铁,配套齐全,南北通透,",1500,元/月
富力津门湖江湾广场 2室1厅1卫,2,1,87,高层(共31层)                                                    ,富力津门湖江湾广场,西青,新梅江南,江湾路102号,"邻地铁,",3500,元
丽霞里 1室1厅1卫 电梯房 配套齐全,1,1,49.75,高层(共22层)                                                    ,丽霞里,东丽,无瑕街,银河大道1号,"邻地铁,配套齐全,有阳台,",1000,元/月
巨福园公寓 1室1厅1卫,1,1,51.64,高层(共8层)                                                    ,巨福园公寓,河东,春华街,"新开路,近华龙道","邻地铁,南北通透,",2100,元
整租 景福里 精装一室 紧邻南楼地铁 万象城附近 恒华大厦,1,1,30,高层(共6层)                                                    ,景福里,河西,挂甲寺,大沽南路670号,"邻地铁,配套齐全,精装修,",1700,元/月
风湖里小区  百脑汇旁1楼2室   拎包入住！,2,1,57,低层(共6层)                                                    ,风湖里,南开,学府街,鞍山西道307号,"邻地铁,配套齐全,南北通透,",2600,元/月
业主急租  价格可议   龙博花园 1室1厅,1,1,53.56,高层(共6层)                                                    ,龙博花园,河西,陈塘庄,"泗水道,近学苑路","邻地铁,配套齐全,有阳台,",1800,元/月
整租  二号桥  建新东里  1室1厅,1,1,21.9,低层(共6层)                                                    ,建新东里(北区),河东,二号桥,先锋路,"邻地铁,配套齐全,精装修,",1300,元/月
整租 景福里 精装一室 紧邻南楼地铁 万象城附近 恒华大厦,1,1,30,高层(共6层)                                                    ,景福里,河西,挂甲寺,大沽南路670号,"邻地铁,配套齐全,精装修,",1700,元/月
风湖里小区  百脑汇旁1楼2室   拎包入住！,2,1,57,低层(共6层)                                                    ,风湖里,南开,学府街,鞍山西道307号,"邻地铁,配套齐全,南北通透,",2600,元/月
业主急租  价格可议   龙博花园 1室1厅,1,1,53.56,高层(共6层)                                                    ,龙博花园,河西,陈塘庄,"泗水道,近学苑路","邻地铁,配套齐全,有阳台,",1800,元/月
整租  二号桥  建新东里  1室1厅,1,1,21.9,低层(共6层)                                                    ,建新东里(北区),河东,二号桥,先锋路,"邻地铁,配套齐全,精装修,",1300,元/月
安达里2楼一居拎包住交通便利，紧邻北仓小学，幼儿园，永辉超市,1,1,39,低层(共6层)                                                    ,安达里(北辰),北辰,集贤里,安达路,"配套齐全,有阳台,随时看房,",1100,元/月
拎包入住，房子干净，，，，，，，，,2,1,80,共5层                                                    ,同盛里西区,大港,港西,港兴道,"配套齐全,南北通透,有阳台,随时看房,",1600,元/月
福康花园三室简单家具二楼好停车临近特岗九龙等,3,1,110,共5层                                                    ,福康花园,宁河,芦台镇,金华路,,1700,元/月
无中介费！观景房源，,1,1,38.54,中层(共29层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,配套齐全,南北通透,",1760,元/月
汇颐大一室 暖气真热啊  价格可谈  抓紧联系,1,1,80.51,高层(共27层)                                                    ,汇颐花园,西青,李七庄,"广秀路,近津涞公路","邻地铁,配套齐全,南北通透,",2600,元/月
恒益隆庭 两室一厅 配套齐全 拎包入住,2,1,90,中层(共6层)                                                    ,恒益隆庭,西青,精武,赛达大道,"配套齐全,南北通透,有阳台,随时看房,",1700,元/月
包物业费 边户有车位 精装修家电家具齐全拎包入住 可谈,3,2,110,共2层                                                    ,仁爱团泊湖逸湖岸(南园),静海,团泊镇,仁爱大道,"配套齐全,精装修,南北通透,有阳台,",3500,元/月
六力陪读，随时入住有钥匙,3,2,135,中层(共16层)                                                    ,祥福园,武清,杨村街,324省道,"配套齐全,精装修,南北通透,有阳台,",2400,元/月
假日盈润园 2室2厅1卫 电梯房 精装修 南北通透,2,2,90,高层(共18层)                                                    ,假日盈润园,西青,中北,"星光路,近卉安道","配套齐全,精装修,南北通透,有阳台,",2500,元/月
学畔馨园高楼层两室一厅 客厅空 2000元 随时入住 师范,2,1,85,高层(共23层)                                                    ,学畔馨园,西青,精武,"津涞公路,近工一号路","配套齐全,精装修,随时看房,",2000,元/月
金湖湾三室婚房出租 找个稳定租户爱惜房子就行 有钥匙看房随时,2,1,88,高层(共32层)                                                    ,中海津湖湾,塘沽,工农村街,"尧山道,近威海路","押一付一,配套齐全,精装修,南北通透,",2000,元/月
意境兰庭 3室2厅1卫 南北通透 精装修 电梯房,3,2,93,低层(共15层)                                                    ,意境兰庭,东丽,空港经济区,"东六道,近兴宇路","配套齐全,精装修,南北通透,有阳台,",3400,元/月
美林园精装两室2300月 家具家电齐全拎包入住,2,2,100,中层(共15层)                                                    ,美林园,滨海新区,中新生态城,中天大道2377号,"配套齐全,精装修,南北通透,有阳台,",2200,元/月
熙悦汇 附近 精装修电梯房 拎包入住 家具家电,1,1,55,高层(共21层)                                                    ,鼎晟双子座,南开,密云路,密云一支路,"配套齐全,精装修,",2400,元/月
新上东兴里二改三全齐装修随时看房近小吃街菜市场物美公交站,2,2,74,中层(共9层)                                                    ,东兴里(西区),西青,中北,汪庄村中街,"配套齐全,精装修,随时看房,",2100,元/月
首租，必租好房，黄庄附近，亚泰澜公馆洋房，三室豪华装修,3,1,128,低层(共7层)                                                    ,亚泰澜公馆,武清,杨村街,滨河道,"精装修,南北通透,首次出租,随时看房,",2800,元/月
地铁二号线 精装一室 电梯房 配套齐全 拎包入住,1,1,54,高层(共22层)                                                    ,祥瑞家园,河东,常州道,常州道17号,"邻地铁,配套齐全,精装修,",2100,元/月
保利云禧 华苑 红旗南路三号六号线 王顶堤三号线,2,1,85,低层(共29层)                                                    ,保利云禧,南开,王顶堤,迎水道100号,"邻地铁,押一付一,配套齐全,",5000,元/月
工农村 尚北园 精装一室 干净整洁 拎包入住 随时看房,1,1,64.66,低层(共30层)                                                    ,贻成尚北,塘沽,工农村街,河北西路1116号,"配套齐全,精装修,有阳台,",1600,元/月
实拍！县医院对面，宝利90平米带电梯，二居室，家电齐全简装,2,2,93,高层(共26层)                                                    ,山湖郡苑,蓟州,罗庄子镇,无终园大街,"配套齐全,精装修,有阳台,",1600,元/月
玫瑰湾花园 2室2厅1卫,2,2,92,中层(共18层)                                                    ,玫瑰湾花园,宝坻,钰华街,渠阳大街1号,"配套齐全,精装修,南北通透,首次出租,",1500,元
可短租月付 麦谷产业园 工业大学  3号线高新区地铁站 海泰,1,0,30,中层(共8层)                                                    ,保利和光尘樾,西青,精武,"才智道,近学府中路","邻地铁,押一付一,配套齐全,",1200,元/月
业主进店刚登记  首租  首租  现场拍照  好房不等人,2,1,71.3,中层(共29层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,配套齐全,精装修,",3000,元/月
婚房装修，首租，可短租，租金可议,2,2,78,中层(共26层)                                                    ,金融街融汇,西青,海泰高新区,海泰南北大街,"配套齐全,精装修,南北通透,",3100,元/月
可短租月付3号线高新区 学府麦谷产业园 工业大学 天津电商城,1,0,30,中层(共24层)                                                    ,保利和光尘樾,西青,精武,"才智道,近学府中路","邻地铁,押一付一,配套齐全,",1300,元/月
北辰红星国际广场(商住楼) 2室1厅1卫 2100.0元,2,1,57.26,中层(共21层)                                                    ,北辰红星国际广场(商住楼),北辰,北仓,津京公路,"精装修,",2100,元/月
新上！爱琴海红星大厦3号楼阳面精装复式！可美甲美睫干净能起照,1,1,69.59,中层(共23层)                                                    ,红星大厦,河东,上杭路,琳科西路,"邻地铁,配套齐全,精装修,",3000,元/月
熙悦汇 地铁2号线附近 家具家电齐全 拎包入住押一付一,2,1,68,高层(共29层)                                                    ,熙汇广场,南开,黄河道,南泥湾路4号,"邻地铁,押一付一,配套齐全,",2620,元/月
中骏柏景湾，家具家电齐全的房子，周边配套齐全有钥匙随时入住了,3,1,95,中层(共24层)                                                    ,中骏柏景湾,西青,精武,京华道,"配套齐全,精装修,南北通透,有阳台,",2800,元/月
秀川路电梯洋房，一梯四户，刚退租三四天,1,1,57,共5层                                                    ,阳光100国际新城西园,南开,体育中心,"外环西路,近红旗南路","配套齐全,精装修,有阳台,首次出租,",2600,元/月
出租洲河湾东园二期精装修，可月租季度租价钱私聊，,2,1,60,中层(共21层)                                                    ,州河湾东园(二期),蓟州,渔阳镇,香林路,"配套齐全,精装修,南北通透,有阳台,",1300,元/月
找短租 房子干净采光好 香榭世家两室,2,1,85,高层(共17层)                                                    ,鹭岛国际花园香榭世家,宁河,芦台镇,"朝阳路,近绿荫西路","精装修,",1700,元/月
北塘中关村 融创君澜 两室 精装修 房子干净拎包入住 有钥匙,2,2,84,中层(共18层)                                                    ,君澜名邸,塘沽,北塘街,镜泊湖路690号,"配套齐全,精装修,有阳台,随时看房,",2000,元/月
新上！租它！富民河畔家园两室 拎包入住 随时看房 环境好,2,2,92,中层(共30层)                                                    ,富民河畔家园,河东,富民路,富民路甲2号,"配套齐全,精装修,南北通透,",3000,元/月
